A	ぁ,ァ
E	ぇ,ェ
I	ぃ,ィ
KA	ヵ
KE	ヶ
O	ぉ,ォ
TU	っ,ッ
U	ぅ,ゥ
WA	ゎ,ヮ
YA	ゃ,ャ
YO	ょ,ョ
YU	ゅ,ュ
a	亞,厭,呀,哇,唖,嗟,堊,娃,婀,宛,庵,惡,或,扛,擧,敢,昂,會,朱,猗,當,痾,稱,窪,粟,翕,翹,舉,蛙,褪,襾,覯,覿,讐,辮,逅,逢,遘,邂,錏,鐚,閼,韲,飽,驤,鴉,鹸,齏,吾,晶,芦,遭,当,相,厚,明,開,あ,編,登,亜,悪,合,歩,赤,上,四,愛,英,ア,浴,遇,麻,足,阿,有,会,空,揚,網,荒,在,朝,充,挙,我,称,日,安,海
aTU	厚,安
aa	乎,于,吁,咨,嗚,嗟,噫,惡,憙,於,猗,羌,悪
aba	發,訐,暴,発
abara	肋
abu	炙,炮,焙,煬,熹,虻,蛇,危
abumi	鐙
abura	腴,膏,膩,脂,油
aburaaka	膩
aburamusi	蜚
aburana	薹
ada	仇,冦,婀,寇,綽,讎,讐,徒
ade	艶,艷
aduma	東
ae	喘,饗
aemono	韲,齏
aga	崇,吾,何,我
agana	贖
agari	東,揚
agata	縣,県
age	上
agito	顎
ago	腮,諤,頤,頷,顋,顎,齶
agu	倦
ahiru	鴨,鶩
ahu	溢
ai	乃,哀,哇,噫,埃,姶,娃,廼,挨,曖,會,欸,瞹,矮,穢,胥,藍,藹,迺,逢,阨,隘,靄,靉,鞋,饗,鮎,相,東,間,秋,合,愛,英,会,和
aida	間
aite	對,対
aka	垢,朱,淦,絳,緋,赫,厚,明,紅,赤
akagane	銅
akagire	皸,皹,胝
akago	嬰
akai	赫
akane	茜,蒐
akara	赧
akari	燈,灯
akaru	耀
akarui	熹
akasi	證,驗,験,証
akatuki	暁,曉
akatuti	赭
akaza	莱,藜
ake	暁,朱,緋,明,陽
akebono	曙
aki	且,亨,倦,叡,呆,嗣,奐,寧,尭,彬,惘,斌,旦,昂,暁,曄,曉,朖,朱,燦,爽,玲,瑛,璃,皓,睿,穐,聡,詮,諒,諦,飫,飽,龝,亮,晶,顕,之,昭,明,喜,右,清,秋,彰,晃,祥,鏡,鑑,白,光,天,啓,昌,朗,輝,商,旭,哲,徹,照,章,日,陽,成
akina	估,賈,商
akira	亨,侃,卯,彪,彬,慧,旦,昂,昶,暁,熹,玲,瑛,皓,瞳,翠,聡,聰,諒,諦,亮,晶,顕,公,現,昭,明,央,彰,晃,鑑,融,史,光,映,審,啓,昌,朗,輝,旭,哲,智,章,陽,成
akiraka	冏,昿,晄,晟,晢,晤,晰,暸,曠,杲,渙,炯,炳,烱,煥,熈,熙,瞭,顯,亮,顕,晃,煕
akitarinai	歉
akitariru	慊
akizora	旻
ako	赤
akoga	憧,憬
akome	衵,袙
akou	榕
aku	唖,堊,幄,惡,扼,渥,軛,阨,飽,鷽,齷,悪,握
akubi	欠
akuta	芥
akutu	圷,垰
ama	剩,塰,奄,甜,蜑,餘,雨,余,剰,尼,赤,天,甘,海
amadare	霤
amane	遍,普,周
amanesi	彌,徇,洽,浹,溥,普,弥
amari	羨,衍,贏
amaru	余
amatu	天
amatusae	剩,剰
amazake	醴
ame	穹,飴,雨,天
ami	畢,网,罔,罟,罠,罨,網
amigasira	网
amo	天
an	厭,庵,按,晏,杏,殷,罨,菴,諳,閹,闇,鞍,餡,鮟,黯,黶,合,行,暗,案,安
ana	坎,塹,壙,孔,嵌,窟,竅,竇,篏,穴
anado	侮,傲,妛,狎,謾
anagura	窖
anazu	侮
ane	姐,姉
ani	哥,豈,兄
aniyome	嫂
anzu	杏
ao	呷,煽,碧,蒼,襖,仰,青
aoga	黽
aogiri	梧
aoguro	黝
aoi	葵,上
aomono	蔬
appare	遖
ara	匪,旌,沐,沽,洒,浣,滌,澡,澣,瑕,疏,盪,笨,糲,蘯,麁,粗,表,新,非,洗,有,荒
aragane	砿,礦,鑛,鉱
arai	洗
arakazi	豫,予
araragi	蘭
arare	霰
arasi	悍,嵐
araso	爭,瓣,諍,辧,辨,辯,鬪,闘,弁,争
arata	悛,灼,改
aratama	璞
arato	砺,礪
arawa	顯,顕,現,表,著
areru	蕪
ari	蟻,順,有,在,家
ariduka	垤
aru	歩,有
arui	或
aruiha	儻,或
aruzi	主
asa	旦,晁,晨,淺,苴,漁,生,麻,浅,朝
asagao	蕣
asagara	莇
asahi	暾,旭
asari	蜊,鯏
ase	汗,新,焦
asi	疋,葦,葭,葺,蘆,趺,芦,脚,愛,足,茨
asia	亞,亜
asibue	笳
asige	騅
asikase	桎,鐐
asinae	蹇
asinoura	跖,蹠
asioto	跫
asita	旦,晨
asiura	蹠
aso	敖,游,遨,朝,遊
asobime	娼
asu	明,飛,足,安,遊
ata	仇,估,傭,應,沽,與,邉,邊,熱,辺,中,与,防,応
atai	價,値,価
ataka	宛,恰
atama	顱,頭
atara	新
atarasi	新
ataru	齊,中,斉
atata	嫗,煖,煦,暖,温
atataka	暄,燠
ate	宛
ategi	椹
ato	址,墟,痕,趾,踪,蹟,蹤,迹,阯,跡,後
atu	亶,壓,惇,扎,攅,斡,會,渥,湊,睦,篤,纂,聚,腆,萃,蒐,軋,輯,輳,遏,鍾,閼,敦,暑,淳,鳩,徳,厚,圧,熱,昌,宏,会,得,充,集,純,温
atui	醇
atuka	扱
atumari	集
atumono	羮,羹
atumu	伍,侑
atura	誂
atusi	惇,渥,竺,敦,毅,淳,温
au	合
awa	勠,哀,并,怜,怱,恊,恤,愍,慌,憐,沫,泡,澹,矜,粟,粱,遽,醂,閔,淡,阿,併
awabi	蚫,鮑,鰒
aware	憫
awase	袷
awatada	遽
awati	莱
aya	冉,妖,彪,恠,愆,斐,琢,竒,絢,綵,綺,綾,苑,郁,黻,黼,怪,紋,理,順,危,奇,彩,史,錦,礼,章,文,恵
ayaginu	綵
ayaka	肖
ayama	繆,訛,謬,譌,過,誤,謝
ayamatu	跌
ayatu	操
ayaui	殆
ayu	鮎,歩
aza	痣,鮮,字,麻,浅
azake	嘲
azami	莇,薊
azamu	紿,詑,詒,誣,謾,欺
azana	糺,字
aze	畔,畛,畦
azi	蝋,鯵,鰺,味
azika	簣
azu	阿,預,安
azuka	與,与
azuki	荅
azuma	東,春
azusa	梓
ba	塲,婆,旛,瑪,痲,發,碼,罵,芭,蕃,薔,蟆,蟇,鷭,麼,峡,庭,化,羽,馬,バ,ば,発,場,映,張,晴,栄
baa	婆
baba	婆
bai	唄,媒,昧,楳,殻,殼,煤,狽,瑁,眛,苺,莓,賣,邁,陪,霾,黴,貝,倍,培,買,賠,梅,売,枚
baku	寞,摸,曝,漠,瀑,狢,獏,皃,縛,莫,藐,貌,貘,駁,驀,麥,麦,爆,暴,博,幕
ban	卍,幔,悗,挽,播,曼,滿,瞞,磐,礬,縵,萬,蔓,蕃,蛮,蠻,謾,輓,鈑,鑁,鬘,鰻,鷭,万,馬,幡,晩,満,番,判,伴,盤,板
bara	払,散,輩,茨
baru	原
bas	罰
base	橋
basi	啄,矼
bata	俣,端
batake	畑
bate	終
bati	撥,枹,桴,秡,罸,罰
batta	蝗
batu	伐,拔,沫,秣,筏,罸,茉,袙,襪,跋,靺,韈,魃,抜,末,罰,閥
be	琶,罐,裴,邉,邊,瓶,米,倍,志,ベ,べ,缶,弁,部,辺,可,家
beTU	別
bei	吠,塀,榠,袂,謎,麑,皿,米
beki	冖,冪,幎,汨,羃,覓
bekikanmuri	冖
ben	俛,冕,卞,娩,宀,抃,汳,泯,湎,瓣,眄,瞑,緬,辧,辨,辮,辯,釆,鞭,麪,麺,黽,便,弁,勉,面
beni	臙,紅
bentou	餉
besi	志
betu	捌,瞥,蔑,襪,韈,鼇,鼈,別
bi	媚,寐,嵋,弭,彌,枇,毘,濔,瀰,琵,眉,糒,糜,縻,茯,薇,靡,鞴,麋,麼,黴,傍,鼻,老,尾,ビ,び,未,弥,火,梶,美,備,微,敏,引,日
biTU	備
bibi	周
bii	為
biki	曳,曵,引
bikko	跛
bin	壜,岷,愍,憫,旻,檳,泯,秤,紊,緡,罎,罠,閔,鬢,黽,瓶,便,貧,備,敏
bira	開
bita	鐚
bitu	蜜
bo	呆,姆,姥,媽,惚,慕,戊,拇,摸,毋,牡,糢,莫,菩,蒲,謨,募,ボ,ぼ,模,母,墓,彫,干,簿,暮
boTU	坊
boka	暈
bokasi	暈
boko	凹
boku	卜,曝,樸,濮,瀑,睦,穆,繆,苜,蹼,雹,鶩,默,墨,朴,目,僕,黙,撲,牧,木,福
bokudukuri	攴,攵
bokunoto	卜
bokunyou	攴,攵
bon	凡,梵,煩,瞞,笵,盆,犯
bora	鯔
bori	掘
boro	繿,襤
bosi	星
botan	釦,鈕
boti	伐,垈,筏,點,点
botu	勃,勿,孛,悖,歿,沒,渤,没
bou	儚,冐,剖,勗,卯,厖,厶,夘,妄,孟,尨,惘,懋,戊,旁,旄,昴,曚,朦,某,梦,楙,榜,氓,滂,瀑,牡,瑁,甍,畆,畝,皃,眸,矇,磅,网,罔,耄,肪,膀,艨,芒,茅,茆,茫,莽,蒙,蒡,虻,蚌,蟒,蠎,袤,謗,貌,鉾,鋩,髦,魍,鴾,黽,乏,傍,坊,帽,棒,牟,矛,紡,霧,暴,亡,貿,冒,妨,忙,謀,望,膨,防,忘,夢,房
bu	侮,嘸,廡,憮,撫,无,毋,汎,舛,葡,蒲,蓬,蔀,蕪,豐,賦,錻,鮒,鵐,鵡,鶩,奉,峰,霧,不,舞,ブ,ぶ,豊,部,振,歩,分,武,夫,歓,打,無,海,保
buka	深
buki	雪
buku	茯,袋
bun	吻,紊,蚊,馼,豊,分,聞,文
bune	舟
bunnyou	文
buri	鰤
busa	纈
busi	節
busuki	宿
buta	豚
buti	駁,駮
buto	蚋
butu	佛,勿,孛,仏,物
buyo	蚋
buyu	蚋
bya	びゃ,ビャ
byaku	檗,甓,蘗,闢,柏,百,白
byo	びょ,ビョ
byou	屏,廟,杪,渺,皰,眇,緲,苹,藐,蚌,謬,鉋,鋲,錨,鞄,猫,苗,秒,病,妙,描,平
byu	びゅ,ビュ
byuu	繆,謬
da	儺,兌,唾,堕,墮,娜,惰,懦,拏,拿,朶,柁,梛,楕,橢,沱,糯,舵,荼,蔀,蛇,蠕,詑,逹,陀,陏,雫,駝,騨,鴕,默,炊,駄,ダ,だ,立,伊,達,出,那,妥,打,建,抱
daTU	韃
daasu	打
